import time: self [us] | cumulative | imported package
import time:      2298 |      29898 |             http.client
import time:       894 |        894 |               urllib.response
import time:      1029 |       1923 |             urllib.error
import time:       973 |        973 |             nturl2path
import time:      2418 |      36556 |           urllib.request
import time:       689 |      37245 |         mediapipe.python.solutions.download_utils
import time:       949 |        949 |         mediapipe.python.solutions.pose_connections
import time:      1693 |      45025 |       mediapipe.python.solutions.pose
import time:      1465 |     768911 |     mediapipe.python.solutions.drawing_styles
import time:       696 |        696 |       mediapipe.modules.face_detection
import time:       904 |        904 |       mediapipe.modules.face_detection.face_detection_pb2
import time:      1164 |       2763 |     mediapipe.python.solutions.face_detection
import time:       910 |        910 |       mediapipe.calculators.util.landmarks_refinement_calculator_pb2
import time:       708 |       1617 |     mediapipe.python.solutions.face_mesh
import time:       708 |        708 |       mediapipe.calculators.tensor.tensors_to_floats_calculator_pb2
import time:       683 |        683 |       mediapipe.calculators.util.landmark_projection_calculator_pb2
import time:       670 |        670 |         mediapipe.modules.holistic_landmark
import time:       838 |       1508 |       mediapipe.modules.holistic_landmark.calculators
import time:       981 |        981 |       mediapipe.modules.holistic_landmark.calculators.roi_tracking_calculator_pb2
import time:       992 |       4871 |     mediapipe.python.solutions.holistic
import time:       691 |        691 |           attr._compat
